origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
"0","0",,,,
"0","1",0.0000729,3364.0650957,0.0002162,3364.0653848
"0","2",0.0000729,5204.3421207,0.0000314,5204.3422249
"0","3",0.0000729,5574.3500245,0.0000095,5574.3501069
"0","4",0.0000729,1052.1760357,0.0000486,1052.1761571
"0","5",0.0000729,2922.6769318,0.0002420,2922.6772466
"0","6",0.0000729,8681.4253574,0.0000291,8681.4254593
"0","7",0.0000729,6051.9651911,0.0003475,6051.9656115
"0","8",0.0000729,4453.1532055,0.0000678,4453.1533463
"0","9",0.0000729,1008.5698442,0.0000540,1008.5699711
"0","10",0.0000729,8147.6567560,0.0000438,8147.6568728
"0","11",0.0000729,2284.9945063,0.0000775,2284.9946567
"0","12",0.0000729,3378.3597539,0.0000636,3378.3598904
"0","13",0.0000729,2249.7763700,0.0001693,2249.7766122
"0","14",0.0000729,4025.2236702,0.0002007,4025.2239438
"0","15",0.0000729,3476.9380235,0.0004839,3476.9385804
"0","16",0.0000729,1896.0721720,0.0001334,1896.0723782
"0","17",0.0000729,4618.2211731,0.0010542,4618.2223002
"0","18",0.0000729,3106.9274695,0.0000444,3106.9275868
"0","19",0.0000729,978.4025453,0.0002456,978.4028638
"0","20",0.0000729,841.6354887,0.0000056,841.6355672
"0","21",0.0000729,153.8414578,0.0001820,153.8417127
"0","22",0.0000729,1754.5278110,0.0001357,1754.5280196
"0","23",0.0000729,6832.8446086,0.0001880,6832.8448695
"0","24",0.0000729,1668.1779443,0.0000705,1668.1780877
"0","25",0.0000729,1005.9995241,0.0000574,1005.9996544
"0","26",0.0000729,3409.2356923,0.0000765,3409.2358418
"0","27",0.0000729,5703.4530582,0.0000478,5703.4531789
"0","28",0.0000729,3582.3808397,0.0000467,3582.3809593
"0","29",0.0000729,8104.9021708,0.0000981,8104.9023418
"0","30",0.0000729,5299.2027470,0.0005218,5299.2033417
"0","31",0.0000729,1697.3217230,0.0001106,1697.3219065
"0","32",0.0000729,3524.4194941,0.0002095,3524.4197765
"0","33",0.0000729,1394.4542953,0.0001925,1394.4545607
"0","34",0.0000729,1360.7747765,0.0000471,1360.7748965
"0","35",0.0000729,252.5873593,0.0000227,252.5874548
"0","36",0.0000729,2742.7852783,0.0000536,2742.7854048
"0","37",0.0000729,3526.7812545,0.0001519,3526.7814793
"0","38",0.0000729,1358.6208809,0.0000123,1358.6209661
"0","39",0.0000729,2403.5941109,0.0000786,2403.5942623
"0","40",0.0000729,2523.7071307,0.0002618,2523.7074654
"0","41",0.0000729,4618.2211731,0.0004182,4618.2216642
"0","42",0.0000729,3736.1060625,0.0002183,3736.1063537
"0","43",0.0000729,3736.1060625,0.0002183,3736.1063537
"0","44",0.0000729,1982.8131024,0.0000588,1982.8132341
"1","0",0.0002162,3364.0650957,0.0000729,3364.0653848
"1","1",0.0002162,3364.0650957,0.0000729,3364.0653848
"1","2",0.0002162,1840.2770250,0.0000314,1840.2772726
"1","3",0.0002162,4963.5071745,0.0000095,4963.5074002
"1","4",0.0002162,4394.8186841,0.0000486,4394.8189489
"1","5",0.0002162,4318.9719259,0.0002420,4318.9723841
"1","6",0.0002162,8070.5825073,0.0000291,8070.5827526
"1","7",0.0002162,5268.9224468,0.0003475,5268.9230105
"1","8",0.0002162,3842.3103555,0.0000678,3842.3106395
"1","9",0.0002162,2355.4952515,0.0000540,2355.4955218
"1","10",0.0002162,7536.8139060,0.0000438,7536.8141661
"1","11",0.0002162,4473.5580966,0.0000775,4473.5583903
"1","12",0.0002162,6606.7328837,0.0000636,6606.7331636
"1","13",0.0002162,5478.1494998,0.0001693,5478.1498853
"1","14",0.0002162,3414.3808202,0.0002007,3414.3812371
"1","15",0.0002162,4826.1460897,0.0004839,4826.1467899
"1","16",0.0002162,3105.2802031,0.0001334,3105.2805527
"1","17",0.0002162,4611.4792139,0.0010542,4611.4804844
"1","18",0.0002162,6335.3005993,0.0000444,6335.3008600
"1","19",0.0002162,4321.0451937,0.0002456,4321.0456556
"1","20",0.0002162,3998.9899171,0.0000056,3998.9901389
"1","21",0.0002162,3347.8878419,0.0001820,3347.8882401
"1","22",0.0002162,1609.5372847,0.0001357,1609.5376366
"1","23",0.0002162,6222.0017585,0.0001880,6222.0021628
"1","24",0.0002162,1847.0838195,0.0000705,1847.0841062
"1","25",0.0002162,3745.7636595,0.0000574,3745.7639331
"1","26",0.0002162,5597.7992826,0.0000765,5597.7995754
"1","27",0.0002162,5092.6102081,0.0000478,5092.6104722
"1","28",0.0002162,3433.5720882,0.0000467,3433.5723512
"1","29",0.0002162,7321.8594264,0.0000981,7321.8597408
"1","30",0.0002162,4516.1600026,0.0005218,4516.1607406
"1","31",0.0002162,1800.7114245,0.0001106,1800.7117513
"1","32",0.0002162,5712.9830844,0.0002095,5712.9835101
"1","33",0.0002162,3160.0497667,0.0001925,3160.0501754
"1","34",0.0002162,4557.9693292,0.0000471,4557.9695925
"1","35",0.0002162,3111.4777364,0.0000227,3111.4779753
"1","36",0.0002162,645.5909070,0.0000536,645.5911769
"1","37",0.0002162,5715.3448448,0.0001519,5715.3452129
"1","38",0.0002162,3124.2163523,0.0000123,3124.2165808
"1","39",0.0002162,4592.1577011,0.0000786,4592.1579960
"1","40",0.0002162,2502.9024890,0.0002618,2502.9029670
"1","41",0.0002162,4611.4792139,0.0004182,4611.4798483
"1","42",0.0002162,2953.0633182,0.0002183,2953.0637527
"1","43",0.0002162,2953.0633182,0.0002183,2953.0637527
"1","44",0.0002162,4171.3766927,0.0000588,4171.3769678
"2","0",0.0000314,5204.3421207,0.0000729,5204.3422249
"2","1",0.0000314,1840.2770250,0.0002162,1840.2772726
"2","2",0.0000314,1840.2770250,0.0002162,1840.2772726
"2","3",0.0000314,6803.7841995,0.0000095,6803.7842404
"2","4",0.0000314,6235.0957091,0.0000486,6235.0957890
"2","5",0.0000314,6159.2489509,0.0002420,6159.2492243
"2","6",0.0000314,9910.8595323,0.0000291,9910.8595927
"2","7",0.0000314,7109.1994718,0.0003475,7109.1998506
"2","8",0.0000314,5682.5873805,0.0000678,5682.5874797
"2","9",0.0000314,4195.7722765,0.0000540,4195.7723619
"2","10",0.0000314,9377.0909310,0.0000438,9377.0910062
"2","11",0.0000314,6313.8351216,0.0000775,6313.8352304
"2","12",0.0000314,8447.0099087,0.0000636,8447.0100037
"2","13",0.0000314,7318.4265248,0.0001693,7318.4267255
"2","14",0.0000314,5254.6578452,0.0002007,5254.6580772
"2","15",0.0000314,6666.4231148,0.0004839,6666.4236301
"2","16",0.0000314,4945.5572281,0.0001334,4945.5573929
"2","17",0.0000314,6451.7562389,0.0010542,6451.7573245
"2","18",0.0000314,8175.5776244,0.0000444,8175.5777002
"2","19",0.0000314,6161.3222187,0.0002456,6161.3224957
"2","20",0.0000314,5839.2669421,0.0000056,5839.2669791
"2","21",0.0000314,5188.1648669,0.0001820,5188.1650803
"2","22",0.0000314,3449.8143097,0.0001357,3449.8144768
"2","23",0.0000314,8062.2787836,0.0001880,8062.2790029
"2","24",0.0000314,3687.3608445,0.0000705,3687.3609463
"2","25",0.0000314,5586.0406845,0.0000574,5586.0407733
"2","26",0.0000314,7438.0763076,0.0000765,7438.0764155
"2","27",0.0000314,6932.8872331,0.0000478,6932.8873123
"2","28",0.0000314,5273.8491133,0.0000467,5273.8491914
"2","29",0.0000314,9162.1364515,0.0000981,9162.1365809
"2","30",0.0000314,6356.4370277,0.0005218,6356.4375808
"2","31",0.0000314,3640.9884495,0.0001106,3640.9885914
"2","32",0.0000314,7553.2601094,0.0002095,7553.2603503
"2","33",0.0000314,5000.3267917,0.0001925,5000.3270156
"2","34",0.0000314,6398.2463543,0.0000471,6398.2464327
"2","35",0.0000314,4951.7547614,0.0000227,4951.7548154
"2","36",0.0000314,2485.8679321,0.0000536,2485.8680171
"2","37",0.0000314,7555.6218698,0.0001519,7555.6220531
"2","38",0.0000314,4964.4933773,0.0000123,4964.4934210
"2","39",0.0000314,6432.4347262,0.0000786,6432.4348361
"2","40",0.0000314,4343.1795140,0.0002618,4343.1798072
"2","41",0.0000314,6451.7562389,0.0004182,6451.7566884
"2","42",0.0000314,4793.3403432,0.0002183,4793.3405928
"2","43",0.0000314,4793.3403432,0.0002183,4793.3405928
"2","44",0.0000314,6011.6537177,0.0000588,6011.6538079
"3","0",0.0000095,5574.3500245,0.0000729,5574.3501069
"3","1",0.0000095,4963.5071745,0.0002162,4963.5074002
"3","2",0.0000095,6803.7841995,0.0000314,6803.7842404
"3","3",0.0000095,6803.7841995,0.0000314,6803.7842404
"3","4",0.0000095,6605.1036129,0.0000486,6605.1036710
"3","5",0.0000095,4151.6958802,0.0002420,4151.6961316
"3","6",0.0000095,4361.9899331,0.0000291,4361.9899717
"3","7",0.0000095,3649.0188886,0.0003475,3649.0192456
"3","8",0.0000095,1386.2740894,0.0000678,1386.2741667
"3","9",0.0000095,4695.6212642,0.0000540,4695.6213278
"3","10",0.0000095,2619.8010196,0.0000438,2619.8010730
"3","11",0.0000095,7168.5255847,0.0000775,7168.5256717
"3","12",0.0000095,8817.0178126,0.0000636,8817.0178857
"3","13",0.0000095,7688.4344287,0.0001693,7688.4346075
"3","14",0.0000095,1549.1263543,0.0002007,1549.1265645
"3","15",0.0000095,7521.1135779,0.0004839,7521.1140713
"3","16",0.0000095,5800.2476912,0.0001334,5800.2478341
"3","17",0.0000095,3450.6526109,0.0010542,3450.6536746
"3","18",0.0000095,8545.5855282,0.0000444,8545.5855822
"3","19",0.0000095,6531.3301225,0.0002456,6531.3303777
"3","20",0.0000095,6394.5630660,0.0000056,6394.5630811
"3","21",0.0000095,5728.1914823,0.0001820,5728.1916738
"3","22",0.0000095,4304.5047728,0.0001357,4304.5049180
"3","23",0.0000095,3765.9654925,0.0001880,3765.9656900
"3","24",0.0000095,4130.8764977,0.0000705,4130.8765776
"3","25",0.0000095,6378.2662605,0.0000574,6378.2663274
"3","26",0.0000095,8292.7667707,0.0000765,8292.7668568
"3","27",0.0000095,2636.5739420,0.0000478,2636.5739994
"3","28",0.0000095,2272.7454852,0.0000467,2272.7455415
"3","29",0.0000095,4784.2306249,0.0000981,4784.2307325
"3","30",0.0000095,3926.6108302,0.0005218,3926.6113615
"3","31",0.0000095,4033.3698733,0.0001106,4033.3699934
"3","32",0.0000095,8407.9505725,0.0002095,8407.9507916
"3","33",0.0000095,5370.3346956,0.0001925,5370.3348976
"3","34",0.0000095,6768.2542581,0.0000471,6768.2543147
"3","35",0.0000095,5321.7626652,0.0000227,5321.7626974
"3","36",0.0000095,4342.2273571,0.0000536,4342.2274202
"3","37",0.0000095,8410.3123329,0.0001519,8410.3124943
"3","38",0.0000095,5334.5012811,0.0000123,5334.5013030
"3","39",0.0000095,7287.1251893,0.0000786,7287.1252774
"3","40",0.0000095,3050.6428938,0.0002618,3050.6431651
"3","41",0.0000095,3450.6526109,0.0004182,3450.6530385
"3","42",0.0000095,2537.7217463,0.0002183,2537.7219741
"3","43",0.0000095,2537.7217463,0.0002183,2537.7219741
"3","44",0.0000095,6866.3441808,0.0000588,6866.3442492
"4","0",0.0000486,1052.1760357,0.0000729,1052.1761571
"4","1",0.0000486,4394.8186841,0.0002162,4394.8189489
"4","2",0.0000486,6235.0957091,0.0000314,6235.0957890
"4","3",0.0000486,6605.1036129,0.0000095,6605.1036710
"4","4",0.0000486,6605.1036129,0.0000095,6605.1036710
"4","5",0.0000486,3367.7319538,0.0002420,3367.7322443
"4","6",0.0000486,9712.1789458,0.0000291,9712.1790234
"4","7",0.0000486,7082.7187795,0.0003475,7082.7191756
"4","8",0.0000486,5483.9067939,0.0000678,5483.9069103
"4","9",0.0000486,2039.3234326,0.0000540,2039.3235352
"4","10",0.0000486,9178.4103444,0.0000438,9178.4104368
"4","11",0.0000486,3315.7480947,0.0000775,3315.7482207
"4","12",0.0000486,2386.1274464,0.0000636,2386.1275586
"4","13",0.0000486,1257.5440625,0.0001693,1257.5442804
"4","14",0.0000486,5055.9772586,0.0002007,5055.9775079
"4","15",0.0000486,4507.6916119,0.0004839,4507.6921445
"4","16",0.0000486,2926.8257604,0.0001334,2926.8259423
"4","17",0.0000486,5063.2761951,0.0010542,5063.2772979
