field_1,name,location,students_male,students_female,total_students,latitude,longitude,school_url,kab,level,damage
0,(50200750) SD NEGERI 1 BENTEK," TODO, Bentek, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",117,114,231,-8.3715133,116.1820417,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/80CEBE1E-86FE-E111-BDC5-0DDEBA5575E2,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
1,(50200810) SD NEGERI 1 REMPEK," Telaga Maluku, REMPEK, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",109,96,205,-8.313705,116.2351217,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/60AE5BE1-023C-E111-AC1F-1195D28A3FCC,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RS
2,(50200201) SD NEGERI 3 SAMBIK BANGKOL," Senjajak, SAMBIK BANGKOL, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",88,83,171,-8.329675,116.2872167,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/B0254EE1-023C-E111-BCDF-07C5464E77B8,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
3,(69770316) SDS ISLAM NURUL FATIHAH," DURIA SOLOH, REMPEK, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",35,30,65,-8.320105,116.2474533,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/6B252002-6C8B-4F86-9CEE-09497BE9D7DF,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK
4,(50200105) SD NEGERI 3 GENGGELANG," Papak, GENGGELANG, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",184,153,337,-8.312425,116.19756,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/90794DE1-023C-E111-9237-131C4234A72F,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
5,(50200112) SD NEGERI 3 GONDANG," Karang Bedil, GONDANG, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",151,121,272,-8.3387333,116.1887133,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/90474DE1-023C-E111-9F3E-1DDC045FEE7B,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
6,(50200466) SD NEGERI 6 GENGGELANG," Jl. Genggelang, GENGGELANG, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",50,57,107,-8.3339467,116.215915,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/4010BDE2-023C-E111-8971-2165BBCEED9D,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
7,(70004715) SD NEGERI 7 BENTEK," DUSUN SERUNGGA, Bentek, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",0,0,0,-8.4060925,116.2574796,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/0FFDCE5D-E56F-4A72-ACB8-2850B100218D,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK
8,(50200807) SD NEGERI 1 SAMBIK BANGKOL," Dusun Luk Barat, RT 02 Rw 01, Sambik Bangkol, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",98,86,184,-8.2893183,116.2197617,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/40EB5BE1-023C-E111-9F6C-3BD00F1A2CF9,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
9,(50200265) SD NEGERI 2 SAMBIK BANGKOL," Oman Telaga, SAMBIK BANGKOL, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",62,48,110,-8.303395,116.25145,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/E0F65CE1-023C-E111-954A-318881D23516,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
10,(50200174) SD NEGERI 4 BENTEK," Dusun Lenek, BENTEK, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",66,81,147,-8.34972,116.1869,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/00574EE1-023C-E111-A2A9-39F4C3BFF66A,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
11,(69725641) SDIT Al Hijrah," Dusun Busur Barat, Rempek, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",42,35,77,-8.3435633,116.2483317,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/E064C01E-86FE-E111-B7C2-376A6B167903,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK
12,(50200761) SD NEGERI 1 GENGGELANG," Jln Waterfall Dusun Kertaraharja Desa Genggelang Kec. Gangga, GENGGELANG, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",43,53,96,-8.3429683,116.2259217,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/805A3F55-19D6-E111-B86B-4DB0B95A6C7B,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
13,(50200134) SD NEGERI 3 Bentek," Dusun Selelos, Bentek, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",128,105,233,-8.3950233,116.22439,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/F00EBF1E-86FE-E111-80A6-5DD7D89CE2DD,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK
14,(50200420) SD NEGERI 4 SAMBIK BANGKOL," Jl. Sambik Bangkol, Gubuk Baro, Dusun Pepanda, SAMBIK BANGKOL, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",45,44,89,-8.3227567,116.2574417,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/40AE5DE1-023C-E111-9510-5B9A05556604,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
15,(60724895) SD NEGERI 6 BENTEK ," Dusun Baru Murmas, Bentek, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",37,25,62,-8.3465383,116.1992283,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/40AABBE2-023C-E111-BD81-43FBBE35694C,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK
16,(50200446) SD NEGERI 4 GONDANG," Telok Borok, GONDANG, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",63,62,125,-8.33056,116.1980317,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/10084EE1-023C-E111-911C-7BB97E6C18F2,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
17,(50200513) SD NEGERI 5 BENTEK," Dasan Baro, BENTEK, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",64,54,118,-8.3908033,116.189835,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/E06E4EE1-023C-E111-84DE-63EEF34FC4A0,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
18,(50200350) SD NEGERI 7 SAMBIK BANGKOL," Kopong Sebagun, SAMBIK BANGKOL, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",138,103,241,-8.3343183,116.2731367,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/E0BF5EE1-023C-E111-89CE-6D0EC8E0446E,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
19,(50200254) SDN 2 BENTEK," KARANG LENDANG, KARANG LENDANG, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",100,94,194,-8.3613,116.1785,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/EA0C6F22-B230-4FB8-929A-69F95801DBFF,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
20,(70004193) SD ISLAM AL FATIH," Dusun Gondang Timur, Gondang, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",0,0,0,-8.353247,116.2758022,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/9BC6118C-A665-4FFB-908F-819E438760CC,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK
21,(50200213) SD NEGERI 2 GONDANG," Lekok, GONDANG, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",81,66,147,-8.347,116.1794,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/C0124DE1-023C-E111-A156-9533036D8E28,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RS
22,(50200499) SD NEGERI 5 GENGGELANG," Dusun Monggal Bawah , Genggelang, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",98,88,186,-8.357805,116.250095,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/80FB5DE1-023C-E111-A345-9942B188E8A4,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
23,(69933601) SDI Terpadu Al - Maarif Darussalam," Dusun Sejuik, Rempek, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",9,7,16,-8.3037917,116.2263233,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/7AB1EE8B-2EF3-4401-9B6A-8C47545E7341,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK
24,(50200217) SD NEGERI 2 GENGGELANG," Sembaro, GENGGELANG, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",50,63,113,-8.3232317,116.20268,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/D02E4DE1-023C-E111-9798-B3FB28B0C7C5,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RS
25,(50200498) SD NEGERI 5 Gondang," Gangga, Gondang, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",113,101,214,-8.3293317,116.1934667,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/704CBF1E-86FE-E111-A35D-9B0FBB2D7D09,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
26,(50200490) SD NEGERI 5 SAMBIK BANGKOL," JUGIL, SAMBIK BANGKOL, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",47,41,88,-8.2709617,116.2360183,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/20A44EE1-023C-E111-8057-A3C1BE002245,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK
27,(50200347) SD NEGERI 7 GENGGELANG," Dasan Sambik, GENGGELANG, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",76,54,130,-8.3641767,116.2349517,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/40154FE1-023C-E111-8F42-B36DA5D310EA,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
28,(50200268) SD NEGERI 2 REMPEK," Dusun Pancor Getah, REMPEK, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",55,48,103,-8.3327283,116.2492233,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/80DC5CE1-023C-E111-BAEA-C7615D355069,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
29,(50223250) SD NEGERI 3 Rempek," Geronggong, Rempek, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",42,37,79,-8.3484,116.2617,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/A003C21E-86FE-E111-A909-CFDA6DC744D1,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK
30,(50200448) SD NEGERI 4 GENGGELANG," Jl. Selelos Km.12,RT. 03 Desa Genggelang Dusun Gangga, Kec.Gangga, GENGELANG, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",60,48,108,-8.3515817,116.2323133,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/B07AC0E2-023C-E111-862F-B9B27F3EA114,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
31,(50200478) SD NEGERI 6 SAMBIK BANGKOL," Jln. Sambik Bangkol, Dusun Kelongkong, Sambik Bangkol, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",43,35,78,-8.3002,116.2412,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/70A65EE1-023C-E111-A0ED-CFFB2BA0344E,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
32,(50200757) SD NEGERI 1 Gondang," Gangga, Gondang, Kec. Gangga, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",109,72,181,-8.3365367,116.1896433,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/E02DBF1E-86FE-E111-95A9-FDF359AB0D93,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB
