field_1,name,location,students_male,students_female,total_students,latitude,longitude,school_url,kab,level,damage
0,(50200872) SD ISLAM AL AZIZIYAH," Jln. TGH Umar Abdul Aziz Kapek Gunungsari, GUNUNGSARI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",189,180,369,-8.546228,116.105632,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/A081A4E3-023C-E111-8831-0FC726472A3C,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
1,(50200755) SD NEGERI 1 GUNTUR MACAN," Jln Air Terjun Gripak Desa Guntur Macan, Guntur Macan, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",78,64,142,-8.534096,116.122627,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/606E56E1-023C-E111-AE71-0BFABD57BCEC,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RB
2,(50200211) SD NEGERI 2 GUNTUR MACAN," Poan Selatan, GUNTUR MACAN, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",38,37,75,-8.519768,116.124545,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/601757E1-023C-E111-ABBA-03F1860178D8,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
3,(50200305) SDN 2 MEKARSARI ," Mekarsari, MEKARSARI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",102,101,203,-8.53601,116.142552,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/609D58E1-023C-E111-87B3-0579F1E79F7A,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
4,(50200276) SD NEGERI 2 SESELA," Jl. Denda Fatimah Dusun Kebon Bawaq, Sesela, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",60,80,140,-8.550833,116.099722,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/30D65AE1-023C-E111-B071-1F4605A57000,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
5,(69993052) SDIT EL GHAIS," Jl. Muhajirin Dusun Belencong RT 004, Midang, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",0,0,0,-8.5568552,116.1230744,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/0A886575-0260-415C-8F71-2F7717DF3AD7,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
6,(69831947) SDN 2 BUKIT TINGGI," Batu Kemalik, BUKIT TINGGI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",54,56,110,-8.516481,116.149967,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/DF7D53AC-DCBF-4CB4-90F9-309E11986BCB,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
7,(50200509) SDN 2 GELANGSAR," GELANGSAR GUNUNGSARI, MAMBALAN, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",36,44,80,-8.522823,116.134543,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/80DE65E1-023C-E111-992B-259F5EAD420D,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RS
8,(50200814) SD NEGERI 1 PENIMBUNG," Desa Penimbung, PENIMBUNG, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",92,89,181,-8.546423,116.139423,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/90B156E1-023C-E111-89CE-31FBE4DBDC37,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
9,(50200143) SD NEGERI 2 TAMANSARI," Jl. Beringin Jaya No. 6, DESA TAMAN SARI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",117,113,230,-8.547287,116.112564,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/B03F57E1-023C-E111-ACDA-47C26F56723D,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RR
