,name,location,students_male,students_female,total_students,classroom,Latitude,Longitude,school_url,kab,level,damage,recons,days,start,end,days_diff,index
3226,(50200131) SD NEGERI 3 JENGGALA," Jl. Pekatan Batu Belak Dusun Kapu, Jenggala, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",50,52,102,6,-8.3846718,116.1840964,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/40C873E1-023C-E111-9447-077E686AF11E,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,temp,83,,,,1
3327,(50200139) SD NEGERI 2 TEGAL MAJA," Tebanyak,Dusun Tebanyak,Desa Tegal Maja,KecamatanTanjung,Lombok Utara, TEGAL MAJA, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",38,41,79,6,-8.3881238,116.163606,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/80EF48E1-023C-E111-934D-AB566B3EF6E3,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,"fix, temp",83,30-Dec-18,12-Jan-19,13,27
3350,(50200141) SD NEGERI 2 TANJUNG," Gubuk Baru, Tanjung, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",191,187,378,9,-8.3511,116.1585,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/603F47E1-023C-E111-8956-CBC579E2167D,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RS,,27,,,,32
3286,(50200159) SD NEGERI 2 SOKONG," Dusun Majalangu, Desa Sokong, Kec. Tanjung, Sokong, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",82,69,151,6,-8.3576931,116.152128,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/805F48E1-023C-E111-AC22-7B25E4A6B35E,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RS,"fix, temp",27,16-Dec-18,12-Jan-19,27,12
3290,(50200165) SD NEGERI 3 SOKONG," Jl.BENGKOANG, 0.1 KM, SOKONG, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",40,57,97,7,-8.3712314,116.141434,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/C05659E1-023C-E111-A032-7BBA04D49224,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RS,,27,,,,14
3263,(50200166) SD NEGERI 3 SIGAR PENJALIN," DUSUN RANGSOT BARAT, SIGAR PENJALIN, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",89,94,183,6,-8.40334,116.12443,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/000A7AE4-023C-E111-8C43-43A685854B70,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,,83,,,,7
3291,(50200172) SD NEGERI 3 TANJUNG," Jl. Jurusan Lading-lading Karang Swela, TANJUNG, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",67,69,136,7,-8.3607933,116.158851,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/B0FF56E1-023C-E111-84EE-7D6607F6DBAD,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RR,,27,,,,15
3271,(50200183) SD NEGERI 3 TEGAL MAJA," Leong Tengah, TEGAL MAJA, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",49,52,101,6,-8.41175,116.16908,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/2097BEE2-023C-E111-AD3E-57369699CECF,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,recon,83,10-Jan-19,3-Apr-19,83,9
3295,(50200230) SD NEGERI 2 JENGGALA," Jln. Raya Tanjung-Bayan, Jenggala, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",132,136,268,12,-8.3516,116.1669,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/A0B457E1-023C-E111-90E1-7F207D1B3114,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,temp,83,,,,18
3345,(50200247) SD NEGERI 1 TENIGA," Jl. Teniga Dusun Dasan Tengak, TENIGA, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",46,80,126,6,-8.4177,116.1431,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/30E447E1-023C-E111-8A4C-C998267D7157,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK,,0,,,,31
3242,(50200275) SD NEGERI 2 SIGAR PENJALIN," Tembobor, SIGAR PENJALIN, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",107,86,193,9,-8.3766617,116.1258833,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/B0EBBEE2-023C-E111-8B2B-2302A479BCEA,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RR,fix,27,26-Dec-18,22-Jan-19,27,3
3334,(50200306) SD NEGERI 2 MEDANA," Dusun Kopang, MEDANA, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",57,59,116,6,-8.3865033,116.133125,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/405DBFE2-023C-E111-98EB-B3A976CD45A5,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,temp,83,,,,28
3344,(50200349) SD NEGERI 6 TANJUNG," Dusun Karang langu, TANJUNG, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",37,31,68,6,-8.3615333,116.157953,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/209257E1-023C-E111-A80E-C33C70418E9C,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK,,0,,,,30
3288,(50200356) SD NEGERI 8 SOKONG," Jln Raya Tanjung mataram km. 2 Kec. Tanjung KABUPATEN LOMBOK UTARA, Sokong, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",172,124,296,12,-8.361285,116.143595,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/D076BEE2-023C-E111-B020-759D4050808E,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RR,,27,,,,13
3280,(50200361) SD NEGERI 7 SOKONG," Jl. Pemda Dusun Karang Nangka, SOKONG, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",92,74,166,6,-8.36165,116.15504,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/20CFBEE2-023C-E111-BDDA-5F52896A3B57,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,temp,83,,,,11
3319,(50200362) SD NEGERI 6 SOKONG," Betumping, Sokong, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",79,60,139,3,-8.4163,116.1522,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/3079BFE2-023C-E111-8A93-9D70730AE145,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,BAIK,,0,,,,24
3367,(50200424) SD NEGERI 4 SIGAR PENJALIN," JALAN SIRA INDAH DUSUN SIRA, SIGARR PENJALIN, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",124,128,252,11,-8.3744,116.1121,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/207459E1-023C-E111-A28D-E77AD94F38B1,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,"recon, temp",83,,,,34
3343,(50200425) SD NEGERI 4 SOKONG," jl pace.dusun Mengkudu, SOKONG, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",53,50,103,4,-8.3873272,116.16139,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/40E259E1-023C-E111-AE64-C33A8EC5A309,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,temp,83,,,,29
3311,(50200431) SD NEGERI 4 TEGAL MAJA," Dasan Lekong, Dusun Medain., Tegal Maja, Kec. Tanjung, Kab. Lombok Utara Prov. Nusa Tenggara Barat ",55,75,130,7,-8.3898716,116.1682415,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/60B2BEE2-023C-E111-A6E2-95BE99A54538,"Kab. Lombok Utara, Prov. Nusa Tenggara Barat",SD,RB,recon,83,26-Jan-19,19-Apr-19,83,22
